file_name,language,school_name,head_name,secretary_name,student_index,student_name,student_gender,student_name_origin,student_courses,academic_years_in_sample,num_subjects,average_grade,blender_mod,replication_done,modification_done
english_greenfields_0000_0,english,greenfields,None,None,0,None,male,english,"['year_10', 'year_11', 'year_12']",['year_10'],[11],"{'mean_gender': 1, 'dev_gender': 0.61, 'mean_origin': 5, 'dev_origin': 1}",True,False,False
english_greenfields_0000_1,english,greenfields,None,None,0,None,male,english,"['year_10', 'year_11', 'year_12']",['year_11'],[10],"{'mean_gender': 1, 'dev_gender': 0.61, 'mean_origin': 5, 'dev_origin': 1}",True,False,False
english_greenfields_0000_2,english,greenfields,None,None,0,None,male,english,"['year_10', 'year_11', 'year_12']",['year_12'],[9],"{'mean_gender': 1, 'dev_gender': 0.61, 'mean_origin': 5, 'dev_origin': 1}",True,False,False
english_pinnacle_0000_0,english,pinnacle,None,None,1,None,male,english,"['year_9', 'year_10', 'year_11']",['year_9'],[7],"{'mean_gender': 1, 'dev_gender': 0.61, 'mean_origin': 5, 'dev_origin': 1}",True,False,False
english_pinnacle_0000_1,english,pinnacle,None,None,1,None,male,english,"['year_9', 'year_10', 'year_11']",['year_10'],[10],"{'mean_gender': 1, 'dev_gender': 0.61, 'mean_origin': 5, 'dev_origin': 1}",True,False,False
english_pinnacle_0000_2,english,pinnacle,None,None,1,None,male,english,"['year_9', 'year_10', 'year_11']",['year_11'],[10],"{'mean_gender': 1, 'dev_gender': 0.61, 'mean_origin': 5, 'dev_origin': 1}",True,False,False
english_whitney_0000_0,english,whitney,None,None,2,None,female,english,"['year_9', 'year_10', 'year_11']","['year_9', 'year_10']","[10, 10]","{'mean_gender': 9, 'dev_gender': 0.61, 'mean_origin': 5, 'dev_origin': 1}",True,False,False
english_whitney_0000_1,english,whitney,None,None,2,None,female,english,"['year_9', 'year_10', 'year_11']",['year_11'],[10],"{'mean_gender': 9, 'dev_gender': 0.61, 'mean_origin': 5, 'dev_origin': 1}",True,False,False
english_james_0000_0,english,james,None,None,3,None,female,english,"['year_9', 'year_10', 'year_11']","['year_9', 'year_10', 'year_11']","[7, 6, 8]","{'mean_gender': 9, 'dev_gender': 0.61, 'mean_origin': 5, 'dev_origin': 1}",True,False,False
spanish_liceo_0000_0,spanish,liceo,None,None,4,None,female,arabic,"['3_de_la_eso', '4_de_la_eso', '1_de_bachillerato']",['3_de_la_eso'],[11],"{'mean_gender': 9, 'dev_gender': 0.61, 'mean_origin': 7, 'dev_origin': 1}",True,False,False
spanish_liceo_0000_1,spanish,liceo,None,None,4,None,female,arabic,"['3_de_la_eso', '4_de_la_eso', '1_de_bachillerato']",['4_de_la_eso'],[10],"{'mean_gender': 9, 'dev_gender': 0.61, 'mean_origin': 7, 'dev_origin': 1}",True,False,False
spanish_liceo_0000_2,spanish,liceo,None,None,4,None,female,arabic,"['3_de_la_eso', '4_de_la_eso', '1_de_bachillerato']",['1_de_bachillerato'],[10],"{'mean_gender': 9, 'dev_gender': 0.61, 'mean_origin': 7, 'dev_origin': 1}",True,False,False
spanish_britanico_0000_0,spanish,britanico,None,None,5,None,female,spanish,"['3_de_la_eso', '4_de_la_eso', '1_de_bachillerato']",['3_de_la_eso'],[13],"{'mean_gender': 9, 'dev_gender': 0.61, 'mean_origin': 5, 'dev_origin': 1}",True,False,False
spanish_britanico_0000_1,spanish,britanico,None,None,5,None,female,spanish,"['3_de_la_eso', '4_de_la_eso', '1_de_bachillerato']",['4_de_la_eso'],[10],"{'mean_gender': 9, 'dev_gender': 0.61, 'mean_origin': 5, 'dev_origin': 1}",True,False,False
spanish_britanico_0000_2,spanish,britanico,None,None,5,None,female,spanish,"['3_de_la_eso', '4_de_la_eso', '1_de_bachillerato']",['1_de_bachillerato'],[10],"{'mean_gender': 9, 'dev_gender': 0.61, 'mean_origin': 5, 'dev_origin': 1}",True,False,False
